,title,type,built_area,land_area,price,rooms,link
60,Peirce Road,Good-class Bungalow,12000,16200,32800000,6,stproperty.sg/listings/72572822/for-sale-peirce-road-resort-home-you-call-home
61,Astrid Hill,Good-class Bungalow,5000,31358,45000000,5,stproperty.sg/listings/87169801/for-sale-astrid-hill-a-charming-good-class-bungalow-on-astrid-hill
62,Mount Sinai,Detached,4000,6200,10500000,5,stproperty.sg/listings/84493841/for-sale-mount-sinai-rare-freehold-detached-at-d10-for-sale
63,Sixth Avenue,Detached,9622,4455,12800000,6,stproperty.sg/listings/81236052/for-sale-sixth-avenue-brand-new-tastefully-and-thoughtfully-renovated
64,Old Holland Road,Good-class Bungalow,11000,25800,32800000,6,stproperty.sg/listings/87065271/for-sale-old-holland-road-view-to-appreciate-the-european-style-majestic-de
65,Sixth Avenue,Detached,3500,12500,20500000,3,stproperty.sg/listings/80300542/for-sale-sixth-avenue-build-your-mansion-in-the-sky-bukit-timah
66,Coronation Road,Detached,8900,9120,18500000,7,stproperty.sg/listings/79356422/for-sale-coronation-road-new-d10-bungalow-near-mrt-schools-ideal-for-mult
67,Princess Of Wales Park,Detached,5600,6613,14500000,6,stproperty.sg/listings/84329561/for-sale-princess-of-wales-park-beautiful-detached-house-near-hwa-chong-raffles-g
68,Robin Close,Detached,5000,8580,16000000,5,stproperty.sg/listings/84238671/for-sale-robin-close-nice-piece-of-bungalow-land-situated-within-mins-w
69,MARGOLIOUTH ROAD,Detached,7500,17500,35000000,7,stproperty.sg/listings/85132071/for-sale-margoliouth-road-margoliouth-bungalow-for-sale
70,Lewis Road,Detached,11000,9600,16800000,9,stproperty.sg/listings/87065331/for-sale-lewis-road-walk-to-mrt-beautiful-plot-regular-land-dual-fr
71,Swettenham Road,Good-class Bungalow,9000,18428,30000000,5,stproperty.sg/listings/87018961/for-sale-swettenham-road-dual-frontage-rare-flat-plot
72,Chip Bee Gardens,Detached,3000,5400,9100000,5,stproperty.sg/listings/83640721/for-sale-chip-bee-gardens-build-your-dream-home-holland-vicinity
73,Sixth Avenue,Detached,3500,12500,20500000,3,stproperty.sg/listings/80300722/for-sale-sixth-avenue-build-your-mansion-in-the-sky-bukit-timah
74,Coronation Road West,Good-class Bungalow,5000,24800,33800000,4,stproperty.sg/listings/86054501/for-sale-coronation-road-west-old-gcb-elevated-subdivisible-dual-frontage-h
75,Old Holland Road,Good-class Bungalow,12000,26000,32800000,6,stproperty.sg/listings/84500421/for-sale-old-holland-road-gcb-for-sale-old-holland-road-vincinty
76,Ming Teck Park,Detached,5500,10080,13000000,6,stproperty.sg/listings/84500491/for-sale-ming-teck-park-2-storey-well-renovated-bungalow-for-sale-at-sixth
77,Holland Grove Park,Detached,8321,4306,10980000,5,stproperty.sg/listings/86311881/for-sale-holland-grove-park-luxury-homes-with-alan
78,Sixth Avenue,Detached,9600,4455,12800000,6,stproperty.sg/listings/71186682/for-sale-sixth-avenue-contemporary-talk-of-the-town
79,Ashley Green,Detached,8500,15570,25000000,5,stproperty.sg/listings/84297161/for-sale-ashley-green-gcb-spacious-lush-landscape
80,Holland Grove Park,Detached,4200,8200,10800000,5,stproperty.sg/listings/83483222/for-sale-holland-grove-park-brand-new-pair-of-bungalows-on-elevated-land
81,Shamrock Park,Detached,5192,5856,14600000,5,stproperty.sg/listings/84310571/for-sale-shamrock-park-freehold-2-storey-with-basement-and-attic-bungalow
82,Namly View,Detached,11250,5100,12380000,5,stproperty.sg/listings/83391512/for-sale-namly-view-award-winning-detached-house
83,Holland Park,Detached,4000,7200,10000000,4,stproperty.sg/listings/85509451/for-sale-holland-park-rare-7200-sqft-bungalow-within-gcb-zone
84,Princess Of Wales Park,Detached,5600,6613,14500000,6,stproperty.sg/listings/84329561/for-sale-princess-of-wales-park-beautiful-detached-house-near-hwa-chong-raffles-g
85,Leedon Road,Good-class Bungalow,6000,18800,29900000,9,stproperty.sg/listings/84238221/for-sale-leedon-road-all-reasonable-offers-considered
86,Brizay Park,Good-class Bungalow,5325,17892,23000000,5,stproperty.sg/listings/64999692/for-sale-brizay-park-a-lovely-driveway
87,East Sussex Lane,Good-class Bungalow,5000,27000,29900000,6,stproperty.sg/listings/83600921/for-sale-east-sussex-lane-walk-to-holland-village
88,Old Holland Road,Good-class Bungalow,11000,25800,32800000,6,stproperty.sg/listings/87065271/for-sale-old-holland-road-view-to-appreciate-the-european-style-majestic-de
